#collected by Gudeta G. (from various sources)
a fourth	kurmaana, ruubi, tokko afraffa
eyebrow	nyaara
eyeglasses	kalaa, fulee ijaa, maaxaxarii
face	fuula
fact, reality	dhugaa, haqa
factory	warshaa
faith, religion	amantii
fall (season), autumn	arfaasaa
family	maatii
famine	beela
famous, popular	beekamaa, beekamtuu
far	fagoo
farewell	nagaatti
farm	bakka qonnaa
farmer	qonnann bulaa, qonnann bultuu, qoteebulaa, qoteebultuu
farmland	lafa qonna
fasting	soomana, laamii
fat (adj)	riidama, furdaa
fate, fortune, luck	hiree, carraa
father	abbaa
fatigued (adj)	bututaa, bututuu
favor (n)	galata
fear	sodaa
February (8th-Mar. 9)	Guraandhala
female	dubartii, dhaltuu, naayaa, dhalaa
fence	dallaa, kellaa, dhayii
fertilizer	xaa'oo
festival	jila
fever	gubaa, layidaa, qandhoo
few	xinnoo, xiqqoo
field	dirree
fifty	shantama
finally	xumuratti, dhumarratti
finger	quba
fingernail	qeensa
fire	ibidda, abidda
fire accident	balaa abidda
firm, forceful	jabaa, cimaa
first	jalqaba
first-born	angafa
fish	qurxummi
five	shan
flag	alaabaa
flashlight	baatirii harkaa, tirigii
flea	tafkii
flee	atiiluu, baqachuu
flood	galoo, lolaa
floor	afaala
floor, story	fooqii, darbii
flour, powder	daakuu
flower	abaaboo, daraaraa
fly	tisiisa
fog	hurrii, qayyoota
"fold (e.g., ""3 fold"")"	dachaa
folder	ukaankaa
folklore	afoola
follow	hordofuu, duukaa bu'uu
food	nyaata
food poisoning	summaa'u nyaata
foolish	gowwaa, jiitoo, sephaa, daalee, dedhee, roodaa
foot, leg	miilla
football (soccer)	kubbaa miillaa
for rent (adj)	kireeffamu
forbidden	dhorkaa
force	humna, anniisaa, giidoo
forehead	adda
foreign	kan bakkee, alaa
forest	bosona, caakkaa, riibaa
fork	shukkaa
form (paper)	uunkaa
formerly	yeroo darbe
forty	afurtama
four	afur
free	bilisa
freedom, liberty	bilisummaa, walabummaa
frequent	yerroo hedduu
fresh (food)	o'aa
Friday	jimaata
friend	hiriyaa, iriyaa, saahiba, fira, michuu
friends	hiriyoota
frog	fattee
from	irra, biraa
front	fuullee, fuldura
fruit	fuduraa
frying pan	maxabashaa, kalaankaltu
full	guutuu, mijuu
fun	gammachuu, qoosaa, tapha
funeral	sirna awwaalaa
future	fuulduratti, durana, yeroo dhufu
game	tapha, morkii
garbage, waste	balfaa, kosii, hubba
garden	manduubee
garlic	qullubbii
gas stove	butta gaasi
gender	kornaayaa, saalaa
generation	dhaloota, labata
generator	maddisaa
get off	bu'i, bu'a
giant (adj)	jaafoo
gift, present	argaa, kennaa, tarfaasaa, gumaata
ginger	jijimbla
girl	durba
girlfriend	jaalalle durbaa
give me	naa keeni
glass (cup)	birciqqoo
glass (material)	fullee
glove	gaantii, shurraaba harkaa
glue	haphee
gnat	bookee
go	deemi
goat	reetii
God	Waaqayyo, Waaqa
gold	warqee
goo tidings, good news	aaga
good	gaarii, bayyeessa, misha, dansaa
Good Friday	Ayyaana fanno
government	mootummaa
grade (on a test)	maarkii, qabxii
grade, level	sadarkaa
grain	midhaan
grammar	caasluga, seerluga
grandfather	akaakayyuu, akaakaa
grandmother	akkoo, akkawoo
grapes	wayinii
grass	marga, buuyoo, gaalala
grassland	lafa margaa
grave	awwaala
gravel	korata, cirracha
green	magariisa
green pepper	qaaraa
grey, gray	daalacha, daara'aa, daaroftuu
ground	lafa
group	gartuu, garee, tuuta
guard	waardiyyaa, eegduu
guest	keessummaa
gum (chewing)	maastiikaa
gun	qawwee
habit	bartee, barmaata
habitat	bidoollee
hair	rifeensa
half	walakkaa, tokko lamaffaa
hall	galma
hand	harkka, gana
handsome	shaggaa, bareedaa, miidhagaa
happy	gammadaa
harassment	cinqursaa, roorroo
harvest	makara
hat, cap	kooffiyyaa, qoobii
hay	hookaa
he	inni
head (body part)	mataa
headache	mataa boo
health	fayyaa
health center	bufata fayya
healthy	fayyaaleessa, fayyaaleettii
heap (n)	tuullaa
heart	onnee
heartbeat	rukuttaa onnee
heartburn	singiggoo
heavy	ulfaataa
height	hojjaa, dheerina
help (n)	gargaarsa, deggersa, hirpha
helpful	gargaaraa
hen	lukku, handaaqqoo
henceforth	amma irraa qabee, gara fulduraatti
her (obj.)	ishee, isee, ishii, isii
her, hers (possesive)	ishee, isee, ishii, isii
here	addana, asi
hero	goota
high	ol'aanaa
highland	baddaa
hill	tulluu, gaara, daabbaa
hilly	gaareen baayyee qaba
him	isa
hip	tafa, luqqeettuu
his	saa, isaa
history, story	seenaa
hive	gaagura
hoe	doomaa
hole	uraa, qaawwaa
holiday	ayyaana
homework	hojii mana
honest	amanamaa, kan dhugaa dubbatu
honey	damma
honor, respect	kabajaa, ulfina, tabaroo
hope	abdii
horn	gaafa, gaanfa
horrible	qaxaxii, rifachiisaa, balaa'amaa
horse	farda
horse cart	gaarii
hospital	hospitaala
hot	o'aa, bulluqaa
hotel	hoteela
hour	sa'aatii
hourly	sa'atii sa'atiidhaan
house	mana, waxee
housewife	haadha manaa
how	akkam
how (rel. pron.)	akkamitti
humid, moist, wet	jiidhaa
humor	qoosaa, baacoo
hundred	dhibba
hungry	beela'aa
husband	abbaa manaa, dhirsa, jaarsa
hut	godoo, hoxxee
hyaena	warab-esa
hyena	waraabessa
hypocrite	farangagaa, oftuulaa, oftuultuu, boogganaa, booggantuu, ofjajaa, ofjajjuu
I	ani, an
ice, snow	cabbii
ID, ID card	eenyummeessaa
idea, thought	yaada
idiom	jechama, ciigoo
idiot	nama jufunfula, gowwaa, raatuu, gadareessa
if	yoo, osoo, otuu
illegal	seeraala, seera maleessa
image	fakkii
imagination	nuura
immediately	daddafiidhaan, battaluma, ariitiidhaan
immigrant	godaanaa, godaantuu
immunity	eegumsa, nageenya
impact, collision	tima, giphee
impediment, obstacle	gufuu
important	baay'ee barbaachisaa
impoverished	deegaa, deegduu
impression	yaada, hubannaa, ilaalcha
impressive	dinqisiisaa, maalalchiissa, maalalchiiftuu, hawwataa
improvement	fooyya'insa, fooyyii
impure	booruu, boora'aa
in front of	fuuldura
in, inside	keessa
incense	qayii, libaana, sorsa, ixaana
incense stick	naddii, sandalii
incidentally	utuu dubbannuu, akka tasaa
income	galii
incomplete	hanqina qabu, hir'uu, dan hin guutne
inconvenient	rakkisaa, kan hin mijoofne
incorrect, wrong	dogoggora
indecent, vulgar	addaggee, guddisbaddee, algala
indeed	dhugaa, dhugaatuu
independent	bilisa, walaba
individual	matayyaa
induction	sinina
infamy	salphina
infantry	lafoo
inferior	kan gadii, gad aanaa
influence, impact	dhiibbaa
information	odeeffannoo
inhumane, vicious	hamaa, hamtuu, haxaarii
initial	kan jalqabaa, kan duraa
injection	maarfee
injera	buddeena, biddeena
injured	madaa'aa
ink	halluu
in-law	soddaa
innocent	tabuu, qulqullu, kasoo, jargee
innovation, invention	argannoo
input	soyiraa, ciicata
insane	maraatuu, maraataa
inspection	qormaata, to'annoo, sakattaa
instant (adj)	battala, yeroo gabaabaatti
instead	iddoo isaa
institution	dhaabbata, jaarmayaa, inistiitiiyuutii
instructions	ajaja, qajeelfama
instrument	meeshaa
insult	arrabsoo
insurance	baraarsa
intelligent	beekaa, beektuu, qaroo
intense	jabaa, ulfaata, miira o'aa
intention	yaada, karoora
interest	fedhii, hawwii
interest (monetary)	dhala
interesting	hawwatu
intern	hidhuu
international	dunyaaleessa, guutuu addunyaa
internet	intarneetii
interview	gaafannoo
intestine, gut	mar'ummaan
introduction	seensa
intuition	dandeettii
invasion	weerara
iron (for clothes)	kaawuyyaa
iron (material)	sibiilaa
irrigation	jallisii, maksaa, bonee
island	baqqanaa, oddoola, cittuu
itch	cittoo, hoqxoo
jackal	wangoo, sardiida, jeedala
jacket	jaakeettii
janitor	qulqulleessituu
January (9th-Feb. 7)	Amajjii
jar	huuroo
jaw	a'ama, mangaagaa
jerrycan	saafiiyaa
jewellery	faayaa meetii
job (n)	jiruu, hojii, dalagaa
job title	maqaa ramaddii hojii
joke	qoosaa, baacoo, falqa seekoo
journalist	gaazexessaa, galaalchaa
journery, trip	deemsa, imala
judge (n)	baahira, daanyaa, doorii
jug	ninniga
juice	cuunfaa, cimmiiga
July (8th-Aug. 6)	Adoolessa
June (8th-July 7)	Waxabajjii
jungle	bosona, caakkaa, huuruma
juniper	mi'eessaa
junk	shokorkota, hanshaafa, haafa
jury	salganee
justice, judgment	haqa
kale, spinach	qoosxaa
kerosene	kerosiinii, laambaa, gaasii adii
kettle	jabanaa
key	bantuu, hiiktuu, qulfii, furtuu, danqaroo
kidney	kalee
kind, generous	arjaa, arjoomaa, arjoomtuu, balchaa
king	mootii
kiss (n)	dhungoo
kitchen	kuushiina, alwaadaa
kite	khurruu
knee	jilba
knife	billaa, ablee, albee, daaduu, sulluuda
knowledge	beekumsa
knuckle	buusaa
ladder	xafxafoo, yaabbannoo, riqaa
ladle	cilfaa
lake	haroo
lamb	xabboota, sookkee
lame	naafa, laasha'aa, laashoftuu
lamp	laambaa, ampuulii
land	dachee, lafa
land degradation	daruu lafaa
landlord	abbaa lafaa
landslide	jogoo
language	afaan, qooqa
larynx	qokkee
last night	eda
last week	torban darbe
last year	baredheengaddaa
late evening	waarii
latrine	shoroonii, manajaa, manfincaanii
laughter	kolfa
law	seera
lazy	dhibaa'aa, dhibooftuu, daagii, abiidhoo, dankaayii, jaatanoo
leaf	baala, shafo, obeensa
leather	gogaa
leave	hambisa
left	bitaa
legitimate	seeromaa
lemon, lime	loomii
length	dheerina
lentil	misira
leopard	qeerransa
lesson plan	karoora barnoota
letter (of the alphabet)	qubee, arfii
letter (that you send)	xalayaa
lettuce, salad	salaaxaa
library	mankitaabaa, manmacaafaa
lice	injiraan
lid	qadaada
lie, fib, falsehood	soba, kijiba, dhara
life	jiruu, jireenya
light (artificial), lightning	ibsaa
light (in weight)	salphaa
light (natural)	ifa
lightning	balaqqeessa, calanqeettii
like that	akkasi
like this	akkana
line	xurree, toora, sarara
lion	leenca
lip	hidhii
liquid	dhangala'aa, yaatoo
list	tarreeffama, tarreessa
literature	ogbarruu
liver	tiruu
living room	gorduba, haga
loan (n)	liqii, ergisa, ergifannaa
lock	qulfii, cuftuu
logical	amansiisaa
logo	asxaa, faajjii
long hair	daabee
long, tall	dheera
lord	gooftaa, rabbi
loud	sagalee guddaa
love (n)	jaalala
lover	jaalallee
lowlands	gammoojjii
loyal	amanamaa, amanamtuu
loyalty	amanamummaa
luggage	shaanxtaa, subbaa uffataa
lumber	laaxaa
lump	guroo
lunatic	maraataa, maraatuu
lunch	laaqana
lungs	somba
machete	meencaa, gajaraa
machine	maashinii
magic	tolcha, calfala
maid	wandaqa, xomboree
main	muummee, ijoo
mainly	caalaatii
majority	Irra-jireessa, harka caalu
malaria	busaa malaria
male	dhiiraa
male (married)	suubboo
male (unmarried)	qeeroo
man, person	nama
management	bulchiinsa, taliigaa
manager	moora, geggeessaa, geggeessituu, hoogganaa, hooggantuu, duree
mandatory, obligation	dirqama
mane	gamma
mango	maangoo
many	baayee, danuu, hedduu, gorba, mooga
map	kaartaa
March (10th-Apr. 8)	Bitooteesa
market	gabaa, dikkoo, machaara
marriage	heeruma, fuudha, gaa'ila
married	fuudhe, heerumte
mattress	firaashii, kefaa, darsaa
May (9th-June 7)	Caamsaa
maybe, likely	tarii
mayor	kantiibaa
me	na, ana
meadow	araddee
meaning	hiika, kiikkaa
meanwhile, meantime	gidduutti, achumann, hangasitii
measurement	bikkooma
meat	foon
mechanic	makaanikii
medicine	dawaa, qoricha, qorsa
medium (adj)	walakkeessa
medium sized	jidduu galeessa
meesenger	ergamaa
meeting	walga'ii, kora
member	miseensa
membership	miseensummaa
memory	birminyii, qaabata
mental (adj)	sammuu
merchant	daladalaa, daldaltuu
mercy, forgiveness	aagii
message	ergaa, dhaamsa, beenoo
meter (for utilities)	lakkooftuu
method	tooftaa, mala
middle	wiirtuu, walakkaa, gidduu
midget	tashaa, dinkii
midnight	waarii, halkan walakkaa, halkan qixxee
migration	godaansa
military	loltuu
milk	annan
mill	baabura midhaanii
million	kitila, miiliiyoonii
Ministry of Agriculture and Rural Development	Ministeera qonna fi misomaa baadiyyaa
minute (n)	daqiiqaa
miracle	raajii
mirror	fuullee, daawitii, oflaallee
mischief	shira
misdeed	yakka
misery	mankaraara, gidiraa, gadadoo, sili'a, dararama, hiraara
Miss	durbee
mistake	dogoggora, balleessaa, badii
mixed, mixture	makaa
modern	ammayyaa
moment	yeroo gabaabduu
Monday	wiixata, aagoo
money	qarshii, horii, maallaqa
monk	moloksee
monkey	qalamee
monster	bulguu
month	ji'a
monument, statue	siidaa
moon	addeessa, ji'a, baatii
moral, morals	safuu
morning	ganama
morning (early)	barraaqa, obboroo
mosque	masgiida
mosquito	bookee, biimmee
mosquito net	matayoo bookee busaa
mostly	caalaatti
moth	fuutuu
mother	haadha, harmee, ayyoo, da'ee, coree
motion	sochii
motivation	kaka'umsa
motorcycle	dokdoqqee, bududdee
mountain	tulluu, gaara, tabba
mouse, rat	hantuuta
mouth, language	afaan
Mr	obbo
Mrs	adde
mud	dhoqqee, laaqii, orofa, dhoobboo
muddy	bootoo, booruu, dhoqqaa'aa
mugger	saamtuu, hattuu
mule	gaangee
muscle	maashaalee
mushroom	shashara, uukkoo, waakkoo, horroqoo, amboshilla
music	muuziiqaa
mustard	shunfaa, sanaabii, sanaafica
mute (adj)	duudaa
my, mine	koo, kiyya
myth	himtee
nail, screw	mismaara
naïve	gowwaa, jufunfula, sephaa
naked	qullaa
name	maqaa, cibra
narrow, tight	dhipoo
national	biyyaaleessa
nationality	lammummaa
nature	uumamaa
nausea	locaa, lollojjii
near	bira, cinaa, dhihoo, kaloo
necessarily	dirqamaan
necessary	barbaachisaa
neck	morma, moqoo, lukuma, lumma
necklace	amartii, dubul
need (n)	fedhii
needle	limmoo
neighbor	ollaa
nephew	durbii
nervous	qaanjibbaa'aa, sodaataa
nest	mandhee, man'ee, godoo
net	marayoo, dabboo, saaphana
network	mantagoo
neutral	imbaabsa
never	abadan, tasa, gonkumaa, qarayyuu, abilla
new	haaraa
New Year	Wagga haaraa
news	oduu
newspaper	gaazexaa
next	itti aanee, ergasii, itti fufee
next week	torban dhufu
next year	bara dhufu
night	halkan
nine	sagal
ninety	sagaltama
no	lakki, miti, hi'iyoo
nobody, no one	homtuu, eenyullee
none	tokkollee
nonsense	shokorkota, hanshaafa, qaayyaatuu
noon	saafaa
north	kaaba
nose	funyaan
not	miti
not far away	dhiyoo
not know	wal'aala
note	yaadachiisa
notebook	yaadanno
nothing	homaa, homtuu
noun	maqaa
novel (book), fiction	asoosama
November (10th-Dec. 9)	Sadaasa
now	amma
nowadays	yeroo ammaatti
nowhere	eessayyuu
numb	adoodaa
number	lakkoobsa
nun	gaaltama
nurse	narsii
nut	boloonii
oats	omborii, ayisaa, matajaboo
obedient	abboomamaa, abboomamtuu
observation	qalbifannaa, hubannaa
October (11th-Nov. 9)	Onkololeessa
of	kan
off	irraa, gara alaatti
office	biiroo, waajjira
often	yeroo baayee, irra deddeebiyee
oil	zayitii, quyyisa
oily	zayitaawaa
okay	tolee
old (object)	moofaa
old (person)	dulloomaa
on	irra, gubbaa
one after another	wal faana
one, a	tokko
one-eyed	ballaa
oneself	ofi
only, alone	qofa, kophaa, duwwaa
onto	gara
operation (medical)	baqaqsanii hodhuu
opinion	yaada, amantii, ilaalcha
opportunity	hayya, carraa
opposite	faallaa
or (in a question)	moo
or (in a sentence)	yookiin
orange	birtukaanii
orchard	oyiruu fuduraa
ordinal number suffix (e.g., -th)	-affaa
ordinary	dasiiba
orphan	gasharee, yatima
oryx	saalaa
otherwise	silaa
our, ours	keenya
out, outside	ala
outside the house	diida
oven	furnoo
over	gubbaa, irra
ownership	abbummaa
package	awwagii
pact, promise	waadaa, ahadii, waliigaltee
page	fuula
Pagume (Sept. 6-10)	Qaammee
paid	kaffalame
pain	dhibee, dhukkuba
paint	barashaa, halluu
pair	mirree
pajamas	biijaamaa
palm (of hand)	harruu, ganaa
palm tree	meexxii
pancake	maxinoo
panic	baaraga, shororkaa, sodaa
pants, trousers	surree, fiddoo, kofoo
papaya	paappaayee
paper	waraqaa, waraqata
paragraph	keeyyata
parasite	akankarreettii
park	paarkii, caayaa
party, invitation	afeerraa
password	barreertuu
pasta	paasta
pastoralist	horsiisee bulaa
pasture	dheedichaa
path	daandii, mocii, karaa
patience, tolerance	obsa
patient (adj)	obsaa, obsituu
patient (n)	dhukkubsataa, dhukkubsattuu
pattern	akkina
payment	kaffaltii
pea	atara, daangulee, haatoo
peace	nagaa, dada
peach, apricot	kookii
peanut	ocholooni
peel (n)	qola
pen	biirii, qalama
penalty, punishment	adaba, adabbii
pencil	irsaasii
people	uummata, saba, jamaa, liiban
percent	dhibbeentaa
perfectly	sirritti
permanent	dhaabbataa, siranaa
permission, license	hayyama, eeyyama
